ID,AgeGroup,CognCap
1002043,0,4.923
1002002,0,5.778
1002003,0,8.444
1002004,0,6
1002008,0,6.214
1002009,0,7.333
1002011,0,5.8
1002012,0,8.154
1002013,0,7.636
1002015,0,7.5
1002016,0,8
1002017,0,6.846
1002018,0,7
1002019,0,7.714
1002020,0,6.769
1002022,0,8.429
1002023,0,7.5
1002038,0,4.625
1002039,0,7.8
1002040,0,8
1002044,0,7.286
1002047,0,8.444
1002048,0,8
1002052,0,7
2002007,1,6.769
2002010,1,5
2002024,1,7.857
2002025,1,6.333
2002028,1,7.4
2002029,1,7.364
2002030,1,8.286
2002031,1,7.143
2002032,1,8.454
2002033,1,7.867
2002036,1,7.3
2002037,1,5.556
2002045,1,6.2
2002057,1,6.333
2002058,1,7.714